,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,,,384.30841064453125,,,,,,384.30841064453125,,,,,,392.3053283691406,,,,,,384.0545349121094,,,,,,392.3053283691406,,,,,,9828238,,,
2015-01-02,,,389.5536193847656,,,,,,389.5536193847656,,,,,,389.5399475097656,,,,,,384.2237548828125,,,,,,384.10052490234375,,,,,,9720106,,,
2015-01-03,,,347.5726623535156,,,,,,347.5726623535156,,,,,,389.69952392578125,,,,,,347.5726623535156,,,,,,389.3236083984375,,,,,,40873501,,,
2015-01-04,,,327.5415344238281,,,,,,327.5415344238281,,,,,,355.17498779296875,,,,,,318.5507507324219,,,,,,347.65179443359375,,,,,,68967394,,,
2015-01-05,,,339.0242004394531,,,,,,339.0242004394531,,,,,,344.7374267578125,,,,,,328.1148986816406,,,,,,328.6437072753906,,,,,,54301877,,,
2015-01-06,,,354.3697204589844,,,,,,354.3697204589844,,,,,,356.102783203125,,,,,,335.5019836425781,,,,,,339.19342041015625,,,,,,28783680,,,
2015-01-07,,,364.5943298339844,,,,,,364.5943298339844,,,,,,370.8926086425781,,,,,,351.3454284667969,,,,,,354.2310485839844,,,,,,30802428,,,
2015-01-08,,,349.3822326660156,,,,,,349.3822326660156,,,,,,363.75836181640625,,,,,,348.1063232421875,,,,,,364.3441162109375,,,,,,24639334,,,
2015-01-09,,,354.1129150390625,,,,,,354.1129150390625,,,,,,355.23370361328125,,,,,,344.6351318359375,,,,,,348.1911315917969,,,,,,22824777,,,
2015-01-10,,,335.0762023925781,,,,,,335.0762023925781,,,,,,351.3315734863281,,,,,,334.06414794921875,,,,,,350.3268127441406,,,,,,18612730,,,
2015-01-11,,,323.1873474121094,,,,,,323.1873474121094,,,,,,340.9803771972656,,,,,,322.9819641113281,,,,,,334.84698486328125,,,,,,22142092,,,
2015-01-12,,,328.7050476074219,,,,,,328.7050476074219,,,,,,334.0733947753906,,,,,,324.8407897949219,,,,,,323.7785949707031,,,,,,23174543,,,
2015-01-13,,,276.4516296386719,,,,,,276.4516296386719,,,,,,330.1058349609375,,,,,,269.1298522949219,,,,,,328.2116394042969,,,,,,89160225,,,
2015-01-14,,,218.82662963867188,,,,,,218.82662963867188,,,,,,274.0776062011719,,,,,,210.28689575195312,,,,,,274.0440673828125,,,,,,119964005,,,
2015-01-15,,,255.2536163330078,,,,,,255.2536163330078,,,,,,277.52239990234375,,,,,,217.3983154296875,,,,,,217.3448944091797,,,,,,99469048,,,
2015-01-16,,,253.03623962402344,,,,,,253.03623962402344,,,,,,269.6738586425781,,,,,,243.0008544921875,,,,,,254.3121337890625,,,,,,46718142,,,
2015-01-17,,,242.2908477783203,,,,,,242.2908477783203,,,,,,257.45501708984375,,,,,,236.9589080810547,,,,,,252.71644592285156,,,,,,28538059,,,
2015-01-18,,,255.79351806640625,,,,,,255.79351806640625,,,,,,265.92291259765625,,,,,,236.5102081298828,,,,,,243.25146484375,,,,,,36586526,,,
2015-01-19,,,262.3135070800781,,,,,,262.3135070800781,,,,,,263.9804992675781,,,,,,252.1809844970703,,,,,,257.1701354980469,,,,,,22779026,,,
2015-01-20,,,258.9010009765625,,,,,,258.9010009765625,,,,,,263.3561706542969,,,,,,250.3392333984375,,,,,,259.927978515625,,,,,,29467165,,,
2015-01-21,,,280.0851745605469,,,,,,280.0851745605469,,,,,,281.6369934082031,,,,,,257.0740051269531,,,,,,258.97821044921875,,,,,,36939390,,,
2015-01-22,,,291.2478332519531,,,,,,291.2478332519531,,,,,,293.0502014160156,,,,,,280.37890625,,,,,,280.60980224609375,,,,,,41857499,,,
2015-01-23,,,294.6343688964844,,,,,,294.6343688964844,,,,,,296.55889892578125,,,,,,280.5830993652344,,,,,,291.3863220214844,,,,,,31150936,,,
2015-01-24,,,313.57159423828125,,,,,,313.57159423828125,,,,,,314.0308837890625,,,,,,291.0197448730469,,,,,,294.40789794921875,,,,,,31354378,,,
2015-01-25,,,322.18157958984375,,,,,,322.18157958984375,,,,,,324.1916809082031,,,,,,308.5652770996094,,,,,,312.9453430175781,,,,,,42644698,,,
2015-01-26,,,345.2505798339844,,,,,,345.2505798339844,,,,,,391.7244873046875,,,,,,321.6189880371094,,,,,,322.6399841308594,,,,,,134823886,,,
2015-01-27,,,332.71246337890625,,,,,,332.71246337890625,,,,,,347.740478515625,,,,,,315.5249328613281,,,,,,344.8642883300781,,,,,,56066423,,,
2015-01-28,,,296.47021484375,,,,,,296.47021484375,,,,,,333.79461669921875,,,,,,287.4364013671875,,,,,,332.555908203125,,,,,,56213181,,,
2015-01-29,,,300.183837890625,,,,,,300.183837890625,,,,,,302.31256103515625,,,,,,283.3273620605469,,,,,,295.7515869140625,,,,,,41410721,,,
2015-01-30,,,291.5593566894531,,,,,,291.5593566894531,,,,,,311.9072570800781,,,,,,290.8048095703125,,,,,,299.23126220703125,,,,,,34258563,,,
2015-01-31,,,280.0205993652344,,,,,,280.0205993652344,,,,,,300.67474365234375,,,,,,278.5333557128906,,,,,,291.5799560546875,,,,,,30064641,,,
2015-02-01,,,291.81280517578125,,,,,,291.81280517578125,,,,,,298.8437194824219,,,,,,273.109619140625,,,,,,279.2518615722656,,,,,,37449859,,,
2015-02-02,,,305.5785217285156,,,,,,305.5785217285156,,,,,,310.5603942871094,,,,,,285.8634033203125,,,,,,291.19439697265625,,,,,,39266419,,,
2015-02-03,,,292.8334045410156,,,,,,292.8334045410156,,,,,,320.46514892578125,,,,,,288.020263671875,,,,,,304.5843811035156,,,,,,52549543,,,
2015-02-04,,,292.5248107910156,,,,,,292.5248107910156,,,,,,295.7803955078125,,,,,,282.78936767578125,,,,,,293.1465148925781,,,,,,34293101,,,
2015-02-05,,,278.490234375,,,,,,278.490234375,,,,,,307.0082092285156,,,,,,275.5003967285156,,,,,,293.5718688964844,,,,,,28881991,,,
2015-02-06,,,285.2489929199219,,,,,,285.2489929199219,,,,,,294.920654296875,,,,,,276.0173645019531,,,,,,278.2491149902344,,,,,,31359471,,,
2015-02-07,,,292.2920837402344,,,,,,292.2920837402344,,,,,,295.5582580566406,,,,,,285.68658447265625,,,,,,285.719970703125,,,,,,27726129,,,
2015-02-08,,,287.8649597167969,,,,,,287.8649597167969,,,,,,294.4532775878906,,,,,,283.7230529785156,,,,,,292.21380615234375,,,,,,22091483,,,
2015-02-09,,,282.3733215332031,,,,,,282.3733215332031,,,,,,287.3710632324219,,,,,,277.94439697265625,,,,,,287.8353271484375,,,,,,35652726,,,
2015-02-10,,,282.5694274902344,,,,,,282.5694274902344,,,,,,285.7601318359375,,,,,,275.2198486328125,,,,,,282.5939636230469,,,,,,27140231,,,
2015-02-11,,,283.91839599609375,,,,,,283.91839599609375,,,,,,286.82244873046875,,,,,,282.9190368652344,,,,,,282.431884765625,,,,,,22282254,,,
2015-02-12,,,286.0732727050781,,,,,,286.0732727050781,,,,,,287.0417175292969,,,,,,284.0172119140625,,,,,,283.94818115234375,,,,,,19615841,,,
2015-02-13,,,302.8389587402344,,,,,,302.8389587402344,,,,,,309.4127502441406,,,,,,285.7574462890625,,,,,,286.33770751953125,,,,,,54983792,,,
2015-02-14,,,331.0020751953125,,,,,,331.0020751953125,,,,,,334.2012023925781,,,,,,302.9688720703125,,,,,,302.9688720703125,,,,,,63972858,,,
